EMPLID,MANAGER_ID,GRADE
43398,43372,5
41046,43398,4
127977,43398,4
59725,43398,4
195669,43398,3
204362,43398,3
204370,43398,3
162032,43398,3
196279,43398,3
171272,43398,2
183822,43398,2
170399,43398,2
77222,43398,2
21585,43398,2
171439,43398,2
111583,43398,3
229609,43398,3
121780,43398,3
44248,43398,3
195792,43398,3
121830,43398,3
176321,43398,3
111575,43398,3
173856,43398,3
208736,43398,3
232231,43398,3
199489,43398,3
187542,43398,3
200139,43398,3
180802,43398,3
232199,43398,3
169722,43398,3
115972,43398,3
196162,43398,3
131359,43398,3
221952,43398,3
169987,43398,3
209288,43398,3
169524,43398,3
190884,43398,3
122937,43398,3
208603,43398,3
195123,43398,3
224758,43398,3
107607,43398,3
122069,43398,3
171454,43398,3
147710,43398,3
221721,43398,3
52142,43372,5
81026,52142,4
70524,52142,4
83733,52142,4
180687,52142,3
204511,52142,3
162693,52142,3
204602,52142,3
196063,52142,3
121772,52142,2
173617,52142,2
173583,52142,2
173633,52142,2
230797,52142,2
207423,52142,2
29648,52142,2
167049,52142,3
208975,52142,3
229914,52142,3
140582,52142,3
157792,52142,3
72298,52142,3
176339,52142,3
176271,52142,3
176180,52142,3
208447,52142,3
226993,52142,3
221184,52142,3
168336,52142,3
145714,52142,3
194647,52142,3
134817,52142,3
98293,52142,3
84418,52142,3
195917,52142,3
111468,52142,3
195198,52142,3
167130,52142,3
178921,52142,3
226977,52142,3
20466,52142,3
166033,52142,3
180950,52142,3
105239,52142,3
230276,52142,3
151829,52142,3
43356,43372,5
112284,43356,4
72801,43356,4
73601,43356,4
162834,43356,3
204933,43356,3
207555,43356,3
169953,43356,2
173641,43356,2
68775,43356,2
41434,43356,2
173658,43356,2
154591,43356,2
170365,43356,2
177899,43356,3
221796,43356,3
186189,43356,3
221853,43356,3
179937,43356,3
187799,43356,3
122036,43356,3
203877,43356,3
50492,43356,3
189449,43356,3
210088,43356,3
169961,43356,3
78055,43356,3
183152,43356,3
196055,43356,3
215160,43356,3
189308,43356,3
189373,43356,3
94136,43356,3
211136,43356,3
209189,43356,3
202127,43356,3
222026,43356,3
171157,43356,3
194548,43356,3
208710,43356,3
154989,43356,3
201491,43356,3
208546,43356,3
221895,43356,3
139428,43356,3
121988,43356,3
142430,43356,3
198309,43356,3
186155,43356,3
194480,43356,3
79079,43356,3
134510,43356,3
194324,43356,3
58305,25864,5
81810,58305,4
73668,58305,4
74716,58305,4
161067,58305,3
201848,58305,3
188029,58305,3
41038,58305,2
29452,58305,2
41228,58305,2
77271,58305,2
26721,58305,2
157412,58305,3
188813,58305,3
146399,58305,3
139378,58305,3
228296,58305,3
97139,58305,3
189209,58305,3
208843,58305,3
228049,58305,3
188490,58305,3
221978,58305,3
231837,58305,3
208967,58305,3
145599,58305,3
137026,58305,3
165274,58305,3
123638,58305,3
81802,58305,3
97279,58305,3
97220,58305,3
162818,58305,3
80887,58305,3
191098,58305,3
57471,58305,3
98186,58305,3
166249,58305,3
145581,58305,3
2256,31213,1
31213,16077,5
46441,31213,4
33689,31213,4
59048,31213,4
201905,31213,3
78196,31213,3
22947,31213,3
58891,31213,2
35461,31213,2
210716,31213,2
29915,31213,2
29012,31213,2
102608,31213,2
210815,31213,2
33443,31213,2
210989,31213,2
162263,31213,2
60293,31213,2
221861,31213,3
146951,31213,3
38168,31213,3
201145,31213,3
222000,31213,3
208520,31213,3
51094,31213,3
190702,31213,3
110908,31213,3
55616,31213,3
177295,31213,3
71845,31213,3
31221,31213,3
80937,31213,3
71134,31213,3
49841,31213,3
221770,31213,3
177428,31213,3
34091,31213,3
221879,31213,3
221846,31213,3
69120,31213,3
177600,31213,3
221887,31213,3
59691,31213,3
109223,31213,3
193383,31213,3
68288,31213,3
93864,31213,3
93906,31213,3
226951,31213,3
30283,31213,2
29151,31213,2
31831,31213,2
31849,31213,2
28618,32780,6
52100,28618,4
72728,28618,4
206300,28618,3
96131,28618,3
22620,28618,3
230037,28618,2
74005,28618,2
26608,28618,2
179606,28618,2
208488,28618,2
102632,28618,2
29541,28618,2
29559,28618,2
139519,28618,2
179572,28618,2
225011,28618,3
194761,28618,3
133710,28618,3
96396,28618,3
195800,28618,3
179234,28618,3
208728,28618,3
162768,28618,3
68403,28618,3
179630,28618,3
145607,28618,3
200097,28618,3
112490,28618,3
62612,28618,3
57919,28618,3
195818,28618,3
209775,28618,3
178723,28618,3
120105,28618,3
35186,28618,2
19740,115550,1
115550,46839,5
151423,115550,4
22523,115550,3
196451,115550,3
233254,115550,3
102640,115550,2
210880,115550,2
24216,115550,2
116129,115550,2
197384,115550,2
109629,115550,2
121871,115550,2
26755,115550,2
210872,115550,2
19732,115550,2
37120,115550,2
194753,115550,2
171264,115550,2
210898,115550,2
208678,115550,3
208751,115550,3
207670,115550,3
199455,115550,3
208850,115550,3
194514,115550,3
228957,115550,3
228940,115550,3
177485,115550,3
222653,115550,3
210260,115550,3
212837,115550,3
151845,115550,3
60491,115550,3
167361,115550,3
227009,115550,3
229336,115550,3
64154,115550,3
132944,127084,4
130559,127084,4
97204,127084,3
149369,127084,3
188045,127084,3
73635,127084,3
210948,127084,2
146944,127084,2
210682,127084,2
179531,127084,2
17324,127084,2
85704,127084,2
33427,127084,2
121756,127084,2
122077,127084,2
171199,127084,2
21551,127084,2
147017,127084,2
26789,127084,2
210922,127084,2
122176,127084,2
138966,127084,3
208645,127084,3
224022,127084,3
179192,127084,3
226332,127084,3
178657,127084,3
178350,127084,3
211771,127084,3
189621,127084,3
230359,127084,3
191585,127084,3
226845,127084,3
168179,127084,3
208892,127084,3
102145,127084,3
164780,127084,3
120063,127084,3
209080,127084,3
179432,127084,3
132936,127084,3
145649,127084,3
127084,59113,6
79749,127084,4
195222,127084,3
209304,127084,3
19457,59113,6
125344,19457,4
112482,19457,4
70037,19457,3
187567,19457,3
197301,19457,3
115816,19457,2
77180,19457,2
73510,19457,2
134965,19457,2
197178,19457,2
17879,19457,2
129387,19457,2
102624,19457,2
105429,19457,2
2078,19457,2
158931,19457,3
212878,19457,3
166991,19457,3
166918,19457,3
157610,19457,3
195834,19457,3
180794,19457,3
167973,19457,3
115857,19457,3
228882,19457,3
76117,19457,3
148262,19457,3
196378,19457,3
118729,19457,3
56838,19457,4
84400,19457,4
120212,19457,4
199653,19457,3
126185,19457,3
178376,19457,3
210906,19457,2
210823,19457,2
210914,19457,2
154559,19457,2
210971,19457,2
188318,19457,2
210674,19457,2
183996,19457,2
184192,19457,2
129338,19457,2
197129,19457,2
77321,19457,2
121947,19457,2
100776,19457,2
210963,19457,2
167304,19457,3
167056,19457,3
221929,19457,3
127464,19457,3
148411,19457,3
228973,19457,3
221937,19457,3
69898,19457,3
158477,19457,3
178756,19457,3
221820,19457,3
194555,19457,3
101337,19457,3
60939,19457,3
134940,19457,3
135871,19457,3
69609,19457,3
144667,19457,3
208785,19457,3
133199,19457,3
208769,19457,3
230698,19457,3
120428,19457,3
166967,19457,3
124792,19457,3
80960,44198,4
63610,44198,4
193961,44198,3
135814,44198,3
187435,44198,2
187054,44198,2
207308,44198,2
105494,44198,2
129213,44198,2
207365,44198,2
115899,44198,2
209510,44198,3
212092,44198,3
209528,44198,3
229518,44198,3
190645,44198,3
113761,44198,3
85118,44198,3
180836,44198,3
170266,44198,3
165845,44198,3
66076,44198,3
167296,44198,3
63511,44198,3
103663,44198,3
179358,44198,3
62422,44198,3
164384,44198,3
209759,44198,3
44198,25864,6
104869,44198,4
82057,44198,4
109371,44198,3
28977,44198,3
68361,44198,3
71316,44198,3
210708,44198,2
207274,44198,2
139758,44198,2
170290,44198,2
154567,44198,2
134916,44198,2
210690,44198,2
25076,44198,2
26682,44198,2
179564,44198,2
129270,44198,2
146829,44198,2
134924,44198,2
197418,44198,2
115907,44198,2
29606,44198,2
224485,44198,3
222539,44198,3
168039,44198,3
167395,44198,3
222448,44198,3
135707,44198,3
208637,44198,3
221945,44198,3
120378,44198,3
221747,44198,3
196659,44198,3
165969,44198,3
223586,44198,3
17235,44198,3
195156,44198,3
36857,44198,3
157735,44198,3
